,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,ME_F1_106_c,ME_F1_108_d,ME_F1_203_a,ME_F1_204_a,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48
Manf,5.043846313,5.151961278,5.614092933,5.149900295,5.628272056,5.732998921,5.44342868,5.952415002,5.983554503,6.528171147,5.77283054,5.670213471,4.211609673,5.454805403,5.991850263,5.92045292,5.04297525,5.293542885,5.999537626,5.24383822,5.42427775,5.632857495
Maoa,5.096070484,4.483351203,4.244972264,5.149900295,4.578610645,3.95284941,4.762553989,5.645480809,5.34448174,4.748636477,4.973711621,4.872764222,4.550425269,4.175084546,4.489608898,4.794332673,4.922475423,5.397506087,5.463277246,4.33914254,5.071615104,4.813507463
Maob,6.06684724,5.397388488,6.328431417,6.318567382,6.692653003,6.790916346,6.604431806,7.333700548,6.943167869,6.976528681,6.712920514,5.435967182,7.339737724,6.433298278,6.282394847,4.675844892,7.639495197,7.614782408,7.319025877,7.002601727,7.282834531,7.502326105
Map1a,5.572263999,4.856047509,5.653733701,6.272057805,5.196869963,5.499838461,5.846661839,5.13842084,5.760669425,6.201741697,5.347794317,4.350145515,4.624008971,6.225211422,5.627647582,5.100643839,6.072749159,5.238609844,5.576785861,6.109437521,5.843646013,6.179205489
Map1b,3.882409289,3.979516106,4.244972264,4.927885035,5.586234643,4.775642062,4.632569424,5.46345105,4.804744872,4.891739941,5.056690803,4.741725074,4.824609178,4.455076358,5.196257506,4.32846284,4.790986096,4.927364131,5.402988203,4.936582317,5.198990914,5.246773896
Map1lc3a,8.115832394,7.556895341,7.947341859,7.68939783,7.423091964,7.997651834,7.205411731,7.411183154,6.832864337,7.248865515,6.970011431,7.5173139,7.879929213,7.914015293,7.887867453,7.241878309,7.876883179,7.992216854,7.965556322,7.687264695,8.096334916,7.125713329
Map1lc3b,7.694728054,8.40342345,8.195282156,7.997877434,8.158782978,8.191417805,8.015965521,8.049607596,8.238796672,8.347068737,8.13398921,7.883908406,8.335689182,8.007579605,8.106000503,8.0292906,8.388967582,8.333204017,8.485020013,8.264570208,8.282015025,8.354649702
Map2k1,7.154075229,6.517246136,7.016604255,6.626496055,6.611148157,6.841717049,7.123092755,7.179845463,6.8780027,6.899577985,6.775502735,6.902161199,6.910471761,6.249870784,6.546207238,6.764210901,7.015588891,7.023149843,7.070383802,7.09315912,6.962106415,6.88451763
Map2k2,7.512182139,7.070979517,6.922376011,7.135267899,6.843027204,7.394679239,7.009845551,6.753667839,6.964251508,6.853690241,7.259942166,7.102391365,6.771659543,7.516883569,7.146990922,6.821148717,8.259207919,8.324459626,7.752570143,8.271034536,8.350706377,8.374238037
Map2k3,7.688363327,7.581934814,7.741990551,7.515645197,7.976581325,7.618761914,8.040841532,7.346906759,8.244624759,7.97240546,7.770705201,7.336119753,7.872399882,7.978143488,7.812419901,7.139260103,5.353772878,5.293542885,5.630357848,4.88681567,5.278060465,4.880854549
Map2k4,7.011794642,6.841405828,6.713167364,6.767282936,6.672704395,6.764829052,6.813854811,6.811970842,6.42490463,6.528171147,6.893068243,6.614475521,6.362602222,6.344497743,6.842383105,6.266334011,6.400559003,6.35252811,6.721225422,6.646665612,6.432926315,6.424628634
Map2k6,5.496570353,4.856047509,4.900950414,4.986673129,5.196869963,3.95284941,5.518954082,5.13842084,4.168792015,4.473205151,4.930360809,4.350145515,4.390941013,4.068219951,4.489608898,3.636124911,4.646299803,5.122040199,5.056739454,4.098027721,4.663970644,5.065865839
Map2k7,6.927834825,6.446298369,6.616170989,6.716084274,6.611148157,6.150670028,6.638696434,6.316946411,6.713423987,6.341293033,6.23148967,6.230528761,6.25090077,6.921758437,6.173094219,6.115163279,6.354725553,6.035545508,6.039689667,6.402914907,6.397950572,6.124681228
Map3k1,3.622418372,3.361762895,3.234188542,3.348192456,3.047805804,3.857323664,4.054830464,3.322602624,4.168792015,2.155940861,3.875739026,5.518348248,3.481655787,3.827340664,3.473339605,6.3843868,2.711559375,3.838977715,4.090246198,4.098027721,3.804193017,3.875955929
Map3k12,4.293633377,4.681701026,4.192106881,3.869350966,4.295222925,3.95284941,3.836036295,3.522064715,4.168792015,3.576782079,3.781300727,4.257242644,4.782165389,4.537508414,4.186310415,5.005587422,4.204615229,4.618678735,5.056739454,4.411320956,4.258731964,4.326029573
Map3k2,5.416684325,5.011578056,5.086192952,5.589877169,5.99248243,5.367413106,5.154679646,6.09072121,5.46771416,4.797931756,5.380375387,6.497490596,5.206328438,5.367359498,5.01808618,5.783901441,5.206727264,6.035545508,5.958236032,5.712312054,5.435704156,5.74554999
Map3k20,9.622267375,9.62058289,9.735794539,9.604826138,8.424155854,9.841315473,9.36323222,8.985676719,8.70539892,8.978380187,8.567181377,9.223666592,9.392459971,10.07616638,9.709833987,9.16671565,9.721061063,9.504730553,9.424010017,9.464761673,9.429669002,9.650127333
Map3k3,5.644183438,5.359275011,5.086192952,5.097516697,4.88637436,5.499838461,5.363730031,4.797293935,5.099708065,5.677475209,5.443409906,5.740543708,5.507889876,5.826712592,5.079953979,5.840082258,5.25742611,4.529956688,5.576785861,5.497007605,5.458628493,5.671408055
Map3k4,5.043846313,4.483351203,5.350226465,5.249285077,5.251686577,4.970844111,5.404129634,5.255091968,5.760669425,5.418487688,5.135155756,5.518348248,5.468480755,5.7248483,4.489608898,5.31403581,5.721933444,4.781261694,5.132956711,5.623941869,5.115335247,5.708955251
Map3k7,5.958175695,5.952519554,5.936852609,5.926564541,5.99248243,5.591744938,5.87568332,5.76835694,5.278679309,5.449669337,5.890605348,5.740543708,5.724102131,5.689230009,5.70821522,5.633061105,6.155275647,6.098602179,6.670981214,6.152192192,5.991742288,5.97861067
Map3k7cl,5.840646706,5.470721589,5.301144654,5.043159178,5.304496398,5.75966283,4.881788998,5.197935486,5.736363417,5.480191275,5.748076253,5.840000589,4.760792148,5.652710039,5.70821522,4.477592046,5.954814117,5.446806885,4.800468942,5.393894627,5.15776935,4.813507463
Map4,10.21601184,9.700877899,10.1520456,10.00569442,9.451277807,9.833492646,9.618470046,9.69236307,9.586601441,9.879130844,9.532662654,9.796263665,9.881184143,9.989135069,9.921063704,9.645958032,10.14456383,9.833761423,9.881613525,10.20469904,9.791516926,9.957541531
Map4k3,4.749937417,5.011578056,4.900950414,4.665378488,5.66911918,4.549833282,5.189768695,5.076345039,4.895348127,4.979819072,5.245389091,3.93614039,4.944351827,4.952417966,4.740088558,4.404953494,4.485468926,4.856161606,4.891045601,4.984689323,5.026528528,4.590260786
Map4k4,4.989660443,5.87359916,5.443647949,5.249285077,6.479547689,5.43514467,5.724359913,4.943555875,5.278679309,5.510080841,5.589906926,6.962260628,4.694021019,4.952417966,4.740088558,7.064590875,4.720455994,5.293542885,4.891045601,5.120074776,4.979987341,5.280583863
Map4k5,4.933359729,6.098481619,6.303725657,6.069397857,7.073501664,5.732998921,6.359360911,6.629478527,6.675574644,6.706560631,6.521703844,5.633719413,5.997637358,5.576773956,6.228779382,5.464588233,5.25742611,5.670818855,5.132956711,5.529803451,5.198990914,5.593248468
Map7d1,7.890409742,7.731159292,7.865300221,7.766914061,7.853505241,8.079302276,8.139859105,7.333700548,7.775233751,7.47028359,7.782942805,7.5173139,7.652660293,7.784977959,7.526094188,7.332792866,7.852355176,7.490981971,7.45885135,7.657894657,7.794046026,7.295752963
Mapk1,4.989660443,5.54050674,5.086192952,5.249285077,6.408953659,5.221592487,6.389857429,6.205366195,6.41727993,6.706560631,6.343139909,4.707017259,5.386278088,5.17475555,5.196257506,5.464588233,6.843746379,6.326422813,6.592173362,6.616448489,6.549066664,6.179205489
Mapk12,6.807701031,6.947970603,6.95447413,6.940847369,7.204320465,6.803785205,7.549542532,6.733697888,7.015650752,6.954958372,7.15085812,6.497490596,6.72225323,6.576649444,6.455758512,6.545118956,5.25742611,5.181502053,5.056739454,5.03124382,4.979987341,4.507446727
Mapk14,6.0798732,5.083476514,5.653733701,4.769494207,5.380254469,5.836819407,6.720958276,6.607699759,6.194522788,6.164637708,6.70007158,5.871685468,5.637915474,5.7248483,5.891906612,5.372349406,5.721933444,6.035545508,5.871906941,6.1937162,5.919593624,6.096626362
Mapk1ip1l,5.096070484,5.434520934,5.904355553,5.296522642,5.018692524,5.43514467,4.86451994,5.310070062,5.173981302,5.062828825,4.99490813,5.103770221,5.583618564,5.496617836,6.085316552,5.867372997,5.444086196,5.238609844,5.521147597,5.357818219,5.15776935,5.632857495
Mapk3,5.986120578,5.977895277,5.968633758,6.122793604,5.785148549,6.002262507,6.458604839,5.46345105,5.87641194,5.596204488,6.186136446,5.933041047,6.404968678,6.095165869,6.054829013,6.266334011,5.154181675,5.494478464,5.274281034,5.497007605,5.735732555,5.552521207
Mapk8,5.096070484,5.900388524,5.573332112,5.926564541,6.145059186,5.467854162,5.659087595,5.76835694,6.004060231,5.729218775,5.722889797,5.255589543,5.253463468,5.576773956,5.668493743,5.60090376,5.859571207,5.935470993,5.999537626,5.529803451,5.649146485,5.177215762
Mapk8ip3,3.47244071,2.803904573,3.00818356,3.930522402,4.490191965,3.39572513,5.043981545,4.718198281,4.549701013,3.786704995,4.272792533,4.872764222,2.333425277,3.689920863,2.77549923,3.757784526,2.976575554,3.683128023,4.703822401,3.911518911,3.804193017,4.002304404
Mapk9,6.143295166,5.818480246,5.802227055,5.589877169,5.628272056,5.259452523,5.87568332,5.602080963,5.525595364,5.38661718,5.589906926,5.518348248,5.468480755,5.011296301,5.891906612,5.499893508,5.099649705,5.540625066,5.731879612,5.393894627,5.42427775,5.915773357
Mapkap1,5.457180207,5.818480246,6.40010733,5.551448111,5.355441186,5.499838461,5.518954082,5.557334942,5.437878777,5.286550248,5.561773476,5.740543708,5.941176112,5.689230009,5.784520522,5.840082258,5.04297525,5.122040199,5.463277246,5.529803451,5.458628493,5.467446234
Mapkapk2,8.462678316,8.413827103,8.987078473,8.569310581,8.436038671,8.601884291,8.4746333,8.284826518,8.291255302,8.465450889,8.420194185,7.192965923,8.360820717,8.70249044,8.510324955,8.301292715,8.221399132,7.708723406,7.811737711,8.309318255,8.275622602,7.791977203
Mapkapk3,6.215895187,6.792188626,6.533586673,6.041940132,6.229415607,6.764829052,5.555284069,5.728549833,6.378540003,5.449669337,5.671158109,5.933041047,6.671094776,6.475729558,6.085316552,5.840082258,6.400559003,6.129126233,6.225223575,5.924496276,6.248896558,6.331407405
Mapkapk5,6.659395942,6.390699749,7.076168831,6.428676271,7.058206053,6.229087934,6.569333538,5.602080963,7.015650752,7.099587068,6.904314574,6.595624979,6.129819454,6.633977768,6.282394847,5.996581519,6.283123866,5.751514072,6.259629872,6.367066176,6.483849692,6.038824924
Mapre1,4.923566234,4.781340374,5.027049378,5.436794986,5.029399386,5.616171444,5.363730031,5.844820255,5.660887361,5.703578958,5.856271308,6.487299789,5.343350889,5.17475555,4.975099004,6.088275909,4.841709247,4.9671066,3.983955808,4.351670446,4.32204521,4.70619805
Mapre2,6.641935619,6.755976254,6.376608815,6.644864289,5.857621447,7.071917736,6.419722617,6.493583243,6.610198488,6.626957554,6.492194431,6.10285113,6.996107951,6.148598806,6.96221663,6.021090445,5.444086196,5.446806885,5.402988203,5.497007605,5.944046281,5.552521207
Mapre3,6.710543734,5.87359916,6.328431417,6.385635815,5.452232064,6.474175983,5.959401207,6.234080665,5.898486477,6.528171147,6.266772891,5.348595566,5.882414884,6.225211422,5.70821522,5.783901441,5.826373125,4.927364131,5.340069437,5.429090864,6.082649449,5.280583863
Mapt,6.532488715,6.272629789,6.938514336,6.148768222,7.231847938,6.552510456,7.33121601,7.496614787,6.409614719,6.830187173,7.001771007,5.596278199,6.383940962,6.576649444,6.432231661,5.534355399,5.826373125,5.397506087,5.630357848,5.740605498,6.037911781,5.671408055
Marchf2,7.559448155,7.167875645,7.365949901,7.346398738,6.682713178,7.32497372,6.901129801,6.773365134,6.346781196,6.592448027,6.757011456,7.44016499,7.295381288,7.315513401,7.49804115,7.432089985,7.361009188,7.400037906,7.252248115,7.450864017,7.508645178,7.118755584
Marchf5,6.710543734,6.947970603,6.914238641,6.363624294,6.912717872,6.190411717,7.061278036,7.333700548,7.273868552,7.176156197,7.215488412,6.871145788,6.653630725,7.108624662,6.806233667,6.719982598,6.529921096,6.499955309,7.070383802,6.990871678,6.728699137,6.424628634
Marchf6,7.512182139,7.753371575,7.49158369,7.550162496,7.633800592,7.629644306,7.239302452,7.372961957,7.410714152,7.544371885,7.573472344,7.347432011,7.561957864,7.615059693,7.6018592,7.352241014,7.545722458,7.630870201,7.343291608,7.339656014,7.224140908,7.213236859
Marchf7,6.693695152,6.973425761,6.303725657,6.470469795,6.731741308,6.457985439,6.439294714,7.056653393,6.569501812,6.528171147,6.64749997,6.669592892,6.505741824,6.174591023,6.282394847,6.792960681,6.014986397,6.545929816,6.450433048,6.538015078,6.611462572,6.401881933
Marchf8,5.195168206,5.434520934,5.301144654,4.927885035,5.452232064,5.182712068,4.699025137,5.13842084,4.549701013,5.021920893,5.096456656,4.437426095,5.107170637,5.067865656,5.303880599,4.794332673,5.399636128,5.446806885,4.976269969,4.88681567,5.239067316,4.590260786
Marf1,6.285016167,5.818480246,6.173421823,6.096342746,6.256472814,5.933667611,5.590721621,5.414113968,5.831222991,5.941522344,5.347794317,6.739952662,5.852111688,6.122129697,5.784520522,6.159995108,6.488076113,6.612256077,6.225223575,6.152192192,5.817414916,5.850074003
Mark2,5.096070484,5.059906257,5.573332112,4.986673129,3.942216125,4.609684367,5.279369826,4.797293935,5.311955655,4.845598174,5.135155756,4.519726227,5.054913104,4.891034111,4.395420563,5.725443896,4.858228257,5.06002183,4.235609909,4.936582317,4.830614526,5.065865839
Mark3,7.19056167,6.973425761,7.188392063,7.259668031,7.570524405,6.972844165,7.315415649,7.209067246,7.122669181,7.194679942,7.032846459,7.088975146,7.226179783,7.13534042,7.026473688,6.821148717,6.970715633,6.813610042,6.670981214,7.198904523,6.837120647,6.932920853
Mars1,5.678841896,6.002832367,5.301144654,5.589877169,5.747499503,5.649916389,5.481685546,5.645480809,6.02427858,6.005872745,5.999487006,5.392942691,6.129819454,5.826712592,5.959298987,5.867372997,6.331250967,6.452467368,6.293234702,6.521803407,6.450101268,5.816067196
Masp1,4.613268578,4.800240712,3.00818356,4.927885035,4.069726052,3.64490757,4.15292432,3.322602624,4.168792015,4.589759361,3.875739026,2.359410399,4.390941013,4.455076358,4.578023067,3.503253236,3.855538603,4.107762856,4.800468942,4.098027721,3.572884791,3.737470682
Mast2,6.920612528,6.251976675,6.703755976,6.511086608,6.468019299,6.433353759,6.655528328,6.921951448,6.8780027,7.21296886,6.550621739,6.54090309,7.07037843,7.115350124,6.96221663,6.3843868,6.488076113,6.733032587,6.670981214,6.668920233,6.444456107,6.355283479
Mast4,5.375018829,5.434520934,5.531386098,5.429608761,6.408953659,6.972844165,6.798781532,5.881584008,5.407413337,6.047231769,6.521703844,5.633719413,6.025060411,5.890833825,5.784520522,5.391274993,5.569766264,5.181502053,5.340069437,5.320816487,5.353020708,5.708955251
Mat2a,6.26234182,6.098481619,6.303725657,6.832838492,7.664427498,6.321471831,6.439294714,7.599508492,6.610198488,6.290529925,6.301213769,6.739952662,5.912094647,6.297959952,5.821211225,6.203475671,6.014986397,6.696198884,6.745706217,6.152192192,6.450101268,6.817345362
Mat2b,6.454621022,6.770570457,6.750210723,6.626496055,6.384633245,6.374189668,6.359360911,6.517140107,6.362747988,6.61325264,6.431300651,6.537548875,6.104334175,6.670968946,6.396205984,6.594949053,7.155822322,6.590484381,6.990693085,6.868006628,6.888421451,6.424628634
Matr3,7.640810395,7.634740613,7.126343858,7.698219307,7.980643616,7.351509523,7.611238346,7.941719356,7.692370434,7.642091701,7.704697247,6.940015698,7.725513004,7.675468724,7.434334412,7.870097882,7.313880854,7.406282485,7.155069866,7.389646648,7.239039688,7.532272952
Mavs,5.958175695,6.188181795,5.83707939,6.223998762,5.428636298,5.182712068,5.590721621,4.943555875,5.46771416,5.623806554,5.867807015,5.321317853,5.852111688,6.475729558,5.497675257,5.633061105,6.155275647,6.245147091,6.078754418,6.385101887,6.248896558,6.401881933
Max,4.576978038,4.961574651,5.325894276,4.769494207,5.586234643,4.549833282,5.069325575,4.872277635,5.041380971,5.042519848,4.583821633,5.477745653,4.432495142,4.011664762,5.277718103,5.077460427,4.204615229,4.661074182,4.545509571,3.301049879,3.749749063,3.875955929
Mb,10.60645694,10.58246866,11.09748427,10.93371254,10.53677697,11.0751569,10.59334281,8.301880297,10.68920949,10.55212826,10.60528458,10.06306501,12.00542148,11.59348759,11.64000921,11.29593056,11.93479111,11.20743078,11.66984093,11.91172194,11.49551433,11.87283296
Mb21d2,5.375018829,4.253317193,3.601561341,4.866599258,4.954049872,3.755021493,5.189768695,4.240699416,4.015633207,4.697597062,4.791897767,5.156172011,4.694021019,4.274576358,4.489608898,3.974072463,4.485468926,4.435418855,3.294292241,4.26316196,4.475533212,3.584266797
Mbd1,4.380422216,4.681701026,5.143007105,4.152161782,5.139887991,4.667151082,5.043981545,5.197935486,4.850757634,5.418487688,5.056690803,4.808731913,5.299107122,4.68946033,3.94166812,5.005587422,4.397788606,5.122040199,4.367658392,4.182956258,4.777177112,4.507446727
Mbd2,6.350976352,6.209761718,6.253007485,5.985405385,6.145059186,6.046245021,6.184838706,6.146163656,6.139976794,5.984739936,5.935148853,6.651453402,5.757185005,6.557022343,6.589390334,6.159995108,5.487207574,6.129126233,5.682011551,5.948952607,6.209096062,6.038824924
Mbd3,6.393331841,6.027345731,6.533586673,6.096342746,5.404648189,5.591744938,5.555284069,5.687613118,5.209731547,5.754410862,5.748076253,4.934074901,6.296624302,5.61524155,6.478907846,5.391274993,5.099649705,4.618678735,5.402988203,5.497007605,5.735732555,5.065865839
Mbd6,4.380422216,4.856047509,4.68836933,5.386596534,5.080562532,4.487391368,4.699025137,4.718198281,5.061086514,5.102608715,4.791897767,5.103770221,5.157601271,4.367647382,4.661330325,4.404953494,4.397788606,5.238609844,4.090246198,4.411320956,4.603851987,5.065865839
Mbnl1,9.353938017,9.156629059,9.058963967,9.311950321,9.528228879,9.048254153,9.209296131,9.80669684,9.076045969,9.289701543,9.11900269,9.592678497,9.21630658,9.084769867,9.188068402,9.209997139,8.905144462,9.058081888,9.068932472,8.81751317,9.047798978,9.084251028
Mbnl2,8.19578803,8.477481428,8.705220915,8.351753582,8.660271174,8.286029591,8.488790763,8.801296923,8.651174693,8.6121929,8.498344716,8.537038631,8.149693593,8.422388634,8.252698538,7.761555233,8.378527036,8.413951444,8.303170632,7.95816121,7.916490418,7.86031328
Mbtd1,4.514644235,4.776142472,4.583077145,4.917648412,4.874547064,4.085233217,4.937903776,4.718198281,4.339871805,4.503238305,4.708643347,4.872764222,5.098419337,4.577022947,4.489608898,4.955602482,4.568124372,5.181502053,4.846467989,4.984689323,5.136708307,5.094519336
Mbtps1,4.813704698,5.506036074,5.397693262,5.551448111,5.586234643,5.332316308,4.881788998,4.634513394,4.757216113,4.346400422,4.839544029,5.947980726,5.000691317,4.175084546,5.079953979,5.464588233,4.922475423,4.435418855,5.521147597,4.26316196,4.882143112,5.065865839
Mbtps2,4.201287462,4.856047509,4.244972264,4.185669484,3.80233416,3.64490757,3.263597469,4.122809418,4.307240435,3.969926702,3.964373405,4.437426095,4.472885814,4.455076358,4.740088558,4.32846284,4.646299803,4.435418855,4.367658392,4.411320956,4.541118774,4.880854549
Mcam,5.457180207,4.828413935,5.952830695,4.769494207,4.920608904,4.422124133,4.881788998,4.797293935,4.904103196,4.411195515,4.885666909,4.157942973,3.767979488,4.68946033,3.873427196,4.546747954,4.097374823,3.412369515,5.017065684,3.51271833,4.297204199,3.808374329
Mccc1,6.06684724,6.42800254,6.303725657,6.363624294,6.692653003,5.531129025,5.817044551,6.019930596,6.02427858,6.026700462,6.383881963,6.537548875,6.273943669,6.557022343,5.959298987,6.068893494,5.985213945,6.499955309,6.078754418,6.130973232,5.991742288,6.179205489
Mccc2,6.013534441,6.051449529,5.802227055,5.734108179,5.080562532,5.785842865,5.404129634,4.718198281,5.58124366,6.237915305,5.748076253,6.278595458,6.525078486,6.249870784,6.054829013,6.159995108,6.488076113,5.969606316,6.990693085,6.69083677,6.626648827,6.574541113
Mcee,6.942171849,6.908925398,6.655755476,6.644864289,6.145059186,6.683611507,6.621665842,6.830893082,6.910953184,6.74477346,6.660823558,6.976902285,7.202354785,7.537060549,7.284727546,6.749618271,7.073328011,7.102207575,7.45885135,7.389646648,6.685844054,7.193505262
Mcfd2,6.23930541,5.952519554,5.766511877,6.148768222,5.708841567,5.182712068,4.910119198,5.602080963,5.96275311,5.963292963,5.644579599,6.155285714,5.941176112,5.826712592,5.72767323,5.754968733,5.508294372,5.649919537,5.937133209,6.08757546,5.991742288,6.009031922
Mcl1,7.291099352,7.438506883,7.638802729,7.833847575,8.214761903,7.790216856,7.443730319,7.690378613,7.877853294,8.13550966,7.737575783,7.082219959,7.69450799,7.892015856,8.134999254,8.264967648,7.674149319,7.858971185,7.351290326,7.720814402,7.359099965,7.631811643
Mcm7,3.996714223,4.167696694,3.755241616,4.802594113,4.295222925,4.042440962,4.054830464,4.240699416,4.094244105,4.132479623,3.5715735,5.156172011,4.694021019,4.068219951,3.473339605,5.464588233,3.855538603,4.702259267,3.538029874,4.33914254,4.33467709,3.875955929
Mcrip1,3.996714223,3.979516106,3.429537117,4.152161782,3.276495212,3.64490757,4.15292432,2.815142336,3.541694221,3.459130587,3.781300727,3.673931352,3.631909146,3.689920863,3.80179745,4.955602482,3.717496546,3.979620845,3.928577685,3.576893918,3.693169672,4.118473069
Mcrip2,6.307339657,6.617526059,6.226963712,6.767282936,5.857621447,6.356830221,5.932031498,5.602080963,6.541718589,6.528171147,6.446766745,5.557839351,6.738910706,7.261966754,6.63131834,6.835038859,6.550397079,6.326422813,6.508810583,6.538015078,6.500432398,6.424628634
Mcrs1,5.870938682,5.54050674,5.301144654,5.956284923,5.304496398,4.970844111,1.371671746,1.371671746,1.371671746,1.61113688,1.371671746,1.371671746,5.852111688,5.321565096,5.451612065,5.633061105,5.569766264,5.790229872,5.132956711,5.463448856,5.919593624,5.552521207
Mcts1,6.454621022,6.409471705,6.490451316,6.295500007,5.892536858,6.339259346,6.252782264,6.176068584,6.02427858,6.341293033,6.536235246,6.230528761,6.525078486,6.557022343,6.711686843,6.30676783,6.64863218,6.568379088,6.769778524,6.367066176,6.343843797,6.512190138
Mcu,6.040437089,5.470721589,5.614092933,5.589877169,5.959930543,6.190411717,5.518954082,6.08442733,5.831222991,5.510080841,5.617502233,5.933041047,6.025060411,6.200123229,6.282394847,5.428397257,6.014986397,5.969606316,6.259629872,5.899618205,5.86940868,5.74554999
Mcur1,6.693695152,6.741232907,6.533586673,6.733353167,7.011321472,6.408294217,7.261461896,6.830893082,6.798058909,6.921985883,7.022562169,6.576524868,7.063782362,6.557022343,6.610506647,6.286692568,6.940005472,6.696198884,6.862241551,6.472045835,7.015000961,6.331407405
Mdc1,4.813704698,4.167696694,4.345223994,5.043159178,3.942216125,4.667151082,4.823402951,4.240699416,5.1373226,5.179021811,4.930360809,4.597583751,4.694021019,4.175084546,5.01808618,5.812265303,4.097374823,3.715673973,4.488627598,4.608429072,4.603851987,4.326029573
Mdfic,2.327596553,3.979516106,4.244972264,4.152161782,4.069726052,4.826973959,5.279369826,3.994421857,4.980596039,4.473205151,4.405352173,5.633719413,4.211609673,4.367647382,4.395420563,4.404953494,4.097374823,4.107762856,4.488627598,4.545671673,3.297274961,4.002304404
Mdh1,9.544528003,9.380546582,9.148401841,9.61417847,9.614414203,9.495635118,9.171762397,9.233330174,9.46243836,9.510933639,9.428432257,8.998219215,9.786211548,10.35149911,10.04257061,9.770443582,10.01150784,9.960109451,10.33114536,10.01069178,9.625692028,10.03349782
Mdh2,10.64421644,10.69098151,10.64171891,10.6082889,10.4776431,10.36214376,10.33319109,10.09000138,10.46349667,10.48786606,10.56599026,9.68027632,10.62629734,10.91300749,10.66660507,10.39909196,10.77647629,10.66465254,10.66217159,10.71832285,10.57031648,10.64780229
Mdm2,6.118259945,5.590715992,6.117816022,5.645667047,4.851307657,4.667151082,4.56290408,4.634513394,4.36101114,4.89536831,4.394546391,4.422955984,5.527197961,5.274269287,5.891906612,5.253265536,4.890709448,4.961689538,4.635246763,4.88681567,4.830614526,4.492883166
Mdm4,4.462284998,4.618566641,4.900950414,4.591544559,5.785148549,4.422124133,5.189768695,6.369658809,4.708068048,5.320682925,5.096456656,5.705807115,4.211609673,4.068219951,4.069168661,5.189822454,4.097374823,4.927364131,4.891045601,4.182956258,4.406823512,4.326029573
Mdn1,4.68322075,4.167696694,4.68836933,4.513727194,4.88637436,4.126792675,4.489703269,4.872277635,4.492798065,4.346400422,4.272792533,5.392942691,4.550425269,4.952417966,5.139277408,5.053898375,4.568124372,4.702259267,4.703822401,4.668569942,4.258731964,4.880854549
Me1,7.790941697,7.622725082,7.856833504,7.401451627,6.115807491,7.407382217,7.920665918,7.959023828,7.816396443,7.988419601,7.71431388,7.595298259,6.93958563,7.268015475,7.926268188,6.316701667,7.128844962,6.913438908,7.351290326,7.031516257,7.5688495,7.010150131
Me3,7.011794642,7.151242391,6.40010733,6.910803904,7.042746538,6.890789618,6.983424961,6.672073896,6.910953184,7.069792468,6.904314574,6.739952662,6.953925167,6.633977768,6.14442433,6.439977809,6.5904973,6.775524899,6.793455753,6.538015078,6.432926315,6.378770837
Mea1,6.970425418,6.711286367,6.855954481,6.864532028,6.024316018,6.597547577,6.409836089,6.369658809,6.66273427,6.706560631,6.75079465,5.917945041,6.787759343,6.996521254,7.398361865,6.689725363,6.775809612,6.590484381,6.696322037,6.955098202,6.59611476,6.634308646
Meaf6,2.327596553,4.334139738,3.755241616,3.348192456,3.80233416,3.25288334,4.41258887,3.697269657,3.541694221,4.207366795,4.047876135,4.519726227,3.313914974,4.068219951,4.069168661,4.32846284,3.717496546,5.06002183,4.600233637,4.33914254,4.541118774,4.590260786
Mecp2,5.572263999,5.701491844,5.301144654,5.296522642,5.542935482,5.296344368,5.659087595,6.262234757,5.407413337,5.596204488,5.347794317,6.075901429,5.054913104,4.455076358,5.354823889,5.353172245,5.306403629,5.628713009,5.630357848,5.561870312,5.15776935,5.671408055
Mecr,5.572263999,5.54050674,4.8335115,4.513727194,4.815367332,5.649916389,4.991917395,4.797293935,4.604444493,5.215762348,5.056690803,4.808731913,6.154862339,6.633977768,6.14442433,5.534355399,5.826373125,5.670818855,5.871906941,5.712312054,5.458628493,5.422950345
Med1,6.155651725,6.371680313,6.40010733,6.550591161,6.173729549,6.711195176,5.904132495,5.748590678,6.02427858,5.803512544,5.867807015,6.884098219,6.910471761,6.742222008,6.877648848,6.862424267,6.283123866,6.36540573,6.309748069,6.736508103,6.168166339,6.554055414
Med10,4.539751014,3.763054927,5.301144654,3.156674147,3.942216125,4.72241615,4.991917395,5.076345039,4.757216113,4.979819072,4.405352173,4.67145383,3.313914974,3.689920863,4.186310415,4.612739942,4.397788606,3.979620845,3.538029874,4.608429072,4.931894548,4.742861911
Med11,4.293633377,4.74218801,3.89411593,4.513727194,4.295222925,3.39572513,4.41258887,4.349679511,3.84426226,3.786704995,4.272792533,4.67145383,3.767979488,4.175084546,3.473339605,4.903823369,4.485468926,4.618678735,4.235609909,4.608429072,4.406823512,5.229825396
Med12,4.220235584,4.167696694,3.429537117,4.802594113,5.080562532,4.042440962,4.244770951,5.310070062,4.371781404,3.685558343,4.126809047,5.933041047,4.00677991,3.689920863,4.395420563,5.391274993,4.397788606,4.529956688,4.800468942,4.545671673,4.541118774,4.880854549
