,AZ_F1_11_a,AZ_F1_203_a,AZ_F1_203_e,AZ_F1_203_f,AZ_F1_3_f,AZ_F1_7_d,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48,X
Nnat,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,3.496569199,4.030999621,4.659917623,4.475625597,5.617484927,5.390208764,5.23089888,2.613774778,2.633642358,5.87969619,7.169844193,2.96057105,3.824263042,4.473520479,2.744717872,3.133611937,1.338428307,Nnat
Nnt,6.204925129,4.570956638,5.415828966,5.381282642,5.436914762,5.383070315,6.53571773,6.821448807,6.785486294,7.360316082,7.711387173,6.471262769,6.171439833,5.114172516,6.909002003,7.716221412,6.554334345,6.105986905,6.732352418,6.764339057,7.151051833,6.696885755,6.351632463,6.498976185,Nnt
Nob1,3.515217212,4.159330946,4.23961017,4.466259571,4.278528499,3.338626222,3.468047492,4.474723823,4.979483652,3.922984536,4.726502177,4.604392498,4.229308189,4.324913771,3.733959567,3.76130772,3.861752427,4.325902161,3.704859078,3.061240442,2.110529229,3.696364492,4.66882231,3.986362643,Nob1
Noc3l,3.691291541,3.954975638,4.121290731,4.297001819,4.052608956,4.426123986,4.613613167,4.244137751,4.539586725,4.507919947,4.171744268,4.120195526,4.54799399,4.215837255,4.693684423,4.107467127,4.51424948,5.132486632,4.085896755,5.281407088,4.473520479,4.838709308,4.60852178,5.496815031,Noc3l
Noct,7.39241883,6.92023696,7.323722568,7.251761964,6.294294694,7.669605788,7.157666744,7.525590477,8.989523309,7.244839489,7.951954713,6.638406376,5.576952305,7.43693928,6.982562767,6.829882358,4.653144662,6.837435944,8.07981802,8.085434572,7.920971591,6.835149644,7.300818746,6.871435683,Noct
Nol11,5.196303081,5.152499244,5.199289713,5.201087891,4.724652731,5.624080875,4.613613167,4.704102525,3.903582169,4.145365347,4.331671171,4.275873362,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,3.9697183,4.211685854,3.912356395,4.099056113,3.440793713,3.720861438,Nol11
Nol3,5.806279263,5.565823751,5.077471249,5.965300973,6.071030878,5.696231321,5.715123545,5.694683873,6.295207595,5.195955391,5.438840366,6.43867738,6.025049874,5.621443179,5.594854796,5.543946607,5.87969619,5.454209203,6.17322682,6.117641032,6.376204535,6.336070145,6.216754394,6.388621865,Nol3
Nol7,6.973995207,7.098503796,7.168292196,6.75151281,6.898112863,7.120047104,7.309579325,7.390921278,7.509162487,6.952660562,7.36204044,7.220724815,7.394738442,7.080372194,7.838208411,7.813758208,7.826601757,7.301612212,6.750070805,6.557111481,6.140346701,6.767673419,6.896628604,6.388621865,Nol7
Nol8,5.992674584,6.030378224,6.133564017,5.993279022,5.446253277,5.642459576,5.333998185,5.499029212,5.588884467,5.730281409,5.183238424,5.858258533,5.541487459,5.285901493,5.698288855,5.154741944,4.918495519,5.61024408,5.946118954,5.434820261,5.32600864,5.598153174,5.24532339,5.496815031,Nol8
Nol9,3.314627145,4.497495299,4.872975108,4.425770128,4.052608956,4.383054324,4.539890388,4.610224903,4.290371921,4.425460974,4.75161261,4.300019636,4.747933322,4.772855933,4.693684423,4.206331836,4.653144662,4.481952486,4.636038786,4.546724958,4.689040618,5.299907852,4.410841038,4.653860748,Nol9
Nolc1,5.601027833,5.60132224,5.55926081,5.965300973,5.389293359,5.586605814,4.683751104,4.544064598,4.914864762,5.092864389,4.726502177,4.544402391,5.128622065,4.772855933,5.567794561,5.32982534,4.918495519,5.080057269,4.81504396,4.211685854,4.352345883,4.75755693,4.66882231,4.404477722,Nolc1
Nono,5.097825882,5.420366924,5.425847702,5.504210731,4.880887261,5.156296732,6.158571556,6.235158162,6.440008593,6.303740655,6.371830979,6.35384076,6.520117176,6.354335764,6.549711139,6.303523725,6.639278028,5.149378437,6.17322682,6.511838602,5.944628367,5.990297144,6.154851948,6.243986545,Nono
Nop10,6.939522148,6.684058596,7.010808393,6.125566794,7.058939519,6.447208996,6.41719262,6.137582822,6.076322428,5.981816461,5.808728218,6.659768982,4.867322992,5.439346146,5.51210209,5.185316639,5.104308177,5.832531087,5.783571644,6.366815653,6.683053511,6.157790375,6.045385955,6.111288436,Nop10
Nop14,4.346147907,4.570956638,4.450596988,4.10521418,4.052608956,4.508587871,4.613613167,4.673483745,5.316124355,4.861545124,4.475625597,4.966278871,4.54799399,4.324913771,4.589907541,4.673044888,4.259790498,5.279228577,5.144700157,3.667949665,4.785818187,4.54830738,4.887594483,4.866422487,Nop14
Nop16,4.794902232,5.001256828,5.139665865,5.101781363,4.79942884,5.196654985,5.244007062,4.158288161,4.451212505,4.507919947,4.801288159,2.941236702,4.229308189,4.215837255,4.535078495,4.448491442,4.188487389,3.648908198,5.390443518,5.44449031,5.208722158,5.688495171,5.032329615,5.496815031,Nop16
Nop53,4.118549618,3.581167949,3.992393625,2.891936205,3.924829045,4.039091312,7.270227626,7.616925596,6.767300045,7.349175582,6.830401506,6.820155754,6.386583128,6.445815394,7.335273403,6.87577684,7.159306209,7.572220721,7.007445319,6.857763875,6.720262141,7.163855929,6.871189995,6.669141115,Nop53
Nop56,5.30861499,5.414391881,6.292579945,5.907662573,5.314777559,5.50860253,5.071604409,4.82046564,4.622858517,5.487715358,4.429218668,4.822140891,4.986578143,5.355949632,4.959505053,4.681855811,4.644111977,6.057185763,4.516901729,5.325509275,4.919803752,4.211398365,4.977596781,4.358376489,Nop56
Nop58,5.644480764,5.245180591,5.536324039,5.847625236,5.289058416,5.76494467,4.583107159,5.169747318,5.086037956,4.741936197,4.283441067,4.465727102,4.829594414,4.238322292,4.604893505,5.016123984,4.471034752,5.848291528,4.331625975,5.168079893,5.082574937,4.902008105,4.995130988,4.926426866,Nop58
Nop9,4.715630049,4.42009171,4.797817961,5.338299723,4.47381327,5.039111609,4.293004156,4.158288161,4.451212505,3.797461041,5.004866608,3.636488737,4.137277932,3.96931298,4.535078495,4.82113958,4.961904582,5.025650468,3.551638157,3.667949665,3.729791678,4.099056113,3.805558255,3.19992563,Nop9
Nos3,3.081572882,3.954975638,4.872975108,4.543981044,4.37947261,4.862231199,2.312647032,3.496569199,4.914864762,4.425460974,4.726502177,3.747074311,3.696081671,3.96931298,4.478083091,4.253682098,3.66566404,4.647470763,4.848326163,4.320714681,4.2200526,3.443131281,3.440793713,3.859711011,Nos3
Notch1,4.118549618,4.060768594,3.693871821,4.543981044,4.645788032,4.730984481,3.468047492,3.000460912,4.030999621,3.797461041,3.926533666,4.120195526,2.277087991,1.995718411,2.384868424,2.402345729,1.338428307,2.651778777,4.085896755,4.093738822,4.785818187,4.413525649,3.69391283,3.395225217,Notch1
Notch2,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.380079157,3.349376037,4.539586725,4.507919947,4.564187815,4.661987365,4.54799399,5.173715896,4.478083091,4.182426154,4.454717499,4.647470763,3.9697183,3.667949665,4.785818187,3.911715068,4.181706941,4.310753327,Notch2
Notch3,4.941466123,5.199584042,4.348957116,4.687889044,5.483014346,4.798099819,3.108810223,4.158288161,3.763811499,4.730304629,4.726502177,5.292294846,4.436571614,3.96931298,3.999980761,3.433272951,4.653144662,2.788760802,4.710326616,3.061240442,4.585301305,4.54830738,4.005857019,4.575427126,Notch3
Npc2,6.420235148,6.304253795,6.236762789,5.816642894,6.328279397,6.383078311,4.814558332,5.052330401,4.914864762,5.145330518,5.529619251,5.431282005,6.406432956,5.621443179,5.907014438,6.213992828,6.307480757,5.572788792,5.560746904,5.385473197,5.507240186,5.534620858,5.797864515,5.902262255,Npc2
Npepl1,6.175603337,6.275315409,6.005808623,6.162998156,6.100902739,6.171572943,7.298445082,7.592583935,7.56286837,6.892539993,6.072998912,6.981549063,7.060790161,7.016759936,6.808554084,6.669761596,7.131060992,5.231953801,7.147725785,6.705235053,6.63190047,6.924609379,7.040503826,6.769434003,Npepl1
Npepps,6.540121619,6.825855517,6.716486819,6.718371419,6.394178778,6.862248408,7.599945878,7.31855908,7.891465853,7.632567727,7.631657392,7.383656332,7.41447714,7.199754156,7.550984518,7.54925033,7.367325829,7.494228731,7.347164585,7.044202149,6.437070184,7.38711278,7.347685353,7.270387664,Npepps
Nphp1,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.462196482,1.338428307,4.030999621,3.338062667,3.029085775,4.77070677,4.038974582,4.215837255,3.27996242,3.433272951,2.406022361,3.49722434,3.9697183,3.667949665,4.2200526,3.911715068,4.726703245,4.575427126,Nphp1
Nploc4,7.373174715,7.327724256,6.889356203,7.357794321,7.02817656,6.996898445,6.763320176,6.170846619,5.920473143,5.937873717,6.188951343,6.463185161,6.888015368,6.345818592,6.761562641,6.533235742,6.777258666,5.96853571,6.45831082,6.176850757,6.376204535,6.070885436,6.457984455,6.269121957,Nploc4
Npm1,6.190338725,6.584692107,6.220451294,6.006243594,6.448163757,6.129975807,5.981929738,6.40001935,6.035874538,6.218887677,6.066039633,6.456202061,5.954803865,5.752193934,6.319589563,6.358058087,6.119006055,6.778114434,7.083768385,6.977495628,7.029829865,6.883125725,6.973709413,7.16412187,Npm1
Npm3,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.101300542,5.463675826,5.458940935,3.145435003,4.381269219,4.035567372,5.029706393,4.215837255,4.258747063,4.321583675,4.67938824,4.026756568,4.193412749,4.605659832,3.520731101,4.341098498,4.479788419,3.720861438,Npm3
Npnt,5.009518072,5.915211506,6.148766406,5.719491777,4.938270931,5.338675696,4.613613167,4.474723823,4.451212505,4.585919608,4.87238772,4.481809142,3.933479984,3.064592419,3.139999423,4.253682098,4.113476166,5.132486632,3.843358242,1.993961442,3.276156696,3.135781248,2.498895636,2.973986249,Npnt
Npr1,4.236832329,4.42009171,4.590774152,4.617728643,4.052608956,5.093560145,2.888912367,3.752358505,4.357069508,3.922984536,3.786291937,3.747074311,4.54799399,3.828212598,3.139999423,3.164105912,3.861752427,4.647470763,3.551638157,3.492618638,4.07439213,4.099056113,3.805558255,4.102787508,Npr1
Npr2,5.844044511,5.103825759,5.440746551,5.338299723,4.79942884,5.660607089,5.418703994,5.893757073,5.588884467,6.065879622,4.801288159,5.496056926,4.617764911,4.271406123,5.281718177,4.955437428,4.983128941,5.784189628,5.248072134,5.281407088,5.90208412,5.124159975,5.395628227,4.728249219,Npr2
Nptn,7.632536837,7.251570941,8.094055643,7.783374339,7.501121793,7.457629464,6.57315672,6.49360807,6.85602196,6.467237716,6.982770066,7.015088012,6.591216367,7.080372194,6.333794552,6.444654457,6.525690711,6.47425638,6.714413715,6.945504966,7.272925124,6.821904514,6.649713844,7.026884119,Nptn
Nqo1,4.118549618,4.570956638,4.545545052,3.883964219,4.052608956,4.862231199,3.108810223,3.185440987,4.148071243,3.338062667,3.029085775,5.054945233,1.338428307,1.995718411,1.776872719,2.126752378,3.438667718,3.327698283,2.366402932,1.338428307,3.276156696,2.744717872,3.133611937,2.973986249,Nqo1
Nqo2,5.253551677,5.208819367,5.139665865,5.293996764,5.545174939,5.76494467,1.906254583,3.752358505,3.609032603,3.145435003,4.801288159,3.945663895,4.474676602,4.426319966,5.264968086,3.944744775,4.67938824,4.573545872,4.387033578,4.320714681,5.118695144,4.785118054,4.60852178,4.210514485,Nqo2
Nr1d2,7.566297843,7.534679349,7.841506863,7.988417769,7.539802899,7.700632753,7.253028382,7.333324796,7.24575583,7.349175582,6.026995893,6.680819872,6.837732963,7.855821172,7.732519002,7.556313696,6.561407268,6.708152863,7.687773436,7.869130736,7.715197362,7.903240622,7.868437686,8.154452907,Nr1d2
Nr1h2,5.412811534,5.199584042,4.872975108,5.381282642,5.842578269,4.730984481,4.934485126,5.427434291,5.157600841,4.797416714,5.06680685,4.935313947,4.867322992,4.91920472,4.589907541,4.912045848,5.462675925,4.495627456,5.033345737,4.843501524,4.961836145,4.785118054,5.121334644,4.93084392,Nr1h2
Nr1h3,5.253551677,5.245180591,4.634628296,5.293996764,4.724652731,5.338675696,6.41719262,6.181766273,6.767300045,5.337971243,3.926533666,5.702286731,5.308172551,5.389989319,5.330832296,5.26231975,4.961904582,4.910265458,5.144700157,5.434820261,5.642611094,5.187495421,5.264990427,4.728249219,Nr1h3
Nr2c2,6.868001857,6.684058596,6.795884788,6.921316102,6.637790719,6.877845324,5.974953233,6.627426295,5.853092375,6.623355489,6.026995893,5.782379398,6.902065656,6.950212947,6.796948937,6.616691347,6.51115277,6.832214799,6.199257379,6.57922607,5.985953863,6.54395278,6.38796124,6.678552276,Nr2c2
Nr2f2,5.665726096,5.652984088,5.58183862,5.463587483,5.824788011,5.196654985,5.333998185,5.94593048,4.979483652,5.145330518,5.695651668,5.138476347,5.678398022,5.114172516,5.123468729,4.82113958,5.336423361,4.848917027,5.248072134,4.982741345,5.32600864,5.362353414,4.545590502,5.619156232,Nr2f2
Nr2f6,5.644480764,5.766786757,5.364664304,5.50304356,5.002982867,5.467960127,4.814558332,4.953847872,5.100637335,5.103511367,4.564187815,5.464032972,5.645369077,4.987163973,5.330832296,4.912045848,5.400930273,4.78484354,4.557717041,4.320714681,4.473520479,4.98848304,4.66882231,4.210514485,Nr2f6
Nr3c1,4.794902232,4.42009171,4.121290731,4.687889044,4.47381327,4.245547602,7.496565797,7.559476037,7.441959669,7.537619746,7.910326489,7.810304051,7.580932778,7.484741621,7.826840304,7.61160917,7.658684218,7.767212757,7.42643816,7.687646937,7.385300197,7.341431925,7.504817691,7.12651964,Nr3c1
Nr3c2,5.6866631,5.152499244,4.944410053,4.687889044,4.79942884,5.338675696,4.200334178,3.349376037,3.010110407,4.145365347,4.564187815,3.636488737,3.245411253,2.838956232,4.917250974,3.327592311,3.64769932,3.170086922,3.9697183,4.982741345,4.473520479,4.482489916,4.60852178,4.798989404,Nr3c2
Nr4a1,8.090877725,7.135295759,6.372454231,7.956796462,6.487592972,7.518597638,8.169488619,7.860642131,6.216965227,7.425410779,7.091067128,8.288338967,5.429541381,7.608574165,7.82112248,7.065948347,7.367325829,9.147534597,7.860836528,7.060014652,7.385300197,5.598153174,6.57289824,6.054591891,Nr4a1
Nr4a2,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,5.748234498,5.866945329,3.435630321,4.038455502,5.290971146,5.011293111,3.245411253,4.324913771,4.642728899,3.007999867,5.161282976,6.55330633,5.090097042,5.573476461,4.352345883,2.50057999,3.440793713,2.376540263,Nr4a2
Nr4a3,6.343209926,3.716820238,6.208022925,5.359951253,3.709053981,4.624067344,5.646530792,4.792242866,6.416861998,5.623367992,7.135102001,5.646309609,5.329123062,7.269643662,7.533607948,8.660770316,6.166164925,7.851736851,6.146717947,5.853025407,4.689040618,2.206540556,1.835929369,2.376540263,Nr4a3
Nr6a1,3.081572882,3.840806608,4.797817961,5.04944123,3.027674668,4.338659205,4.875767514,4.848146881,5.458940935,4.585919608,3.456806868,4.544402391,2.38667139,2.885286283,1.896538517,2.402345729,2.486703843,4.062866979,3.077459317,3.292993055,3.768199661,2.627807014,3.21675325,3.30087765,Nr6a1
Nras,6.145673214,6.023852316,5.989013402,6.22330327,6.071030878,5.798111813,5.045203361,3.752358505,3.435630321,3.922984536,4.171744268,3.747074311,4.31581817,4.426319966,3.733959567,3.660029918,3.861752427,4.969111199,3.380189424,4.093738822,4.511373854,3.808054218,3.572897347,4.404477722,Nras
Nrbf2,6.868001857,6.616268682,6.496473304,6.799839721,6.553886836,6.066602685,5.220603991,4.201851437,4.496076194,4.892571118,4.83727589,4.574709235,5.00388023,6.060520922,5.178170096,5.296467344,4.94036331,5.347357241,4.686232017,4.438625032,3.99564794,4.580123317,4.479788419,4.751979042,Nrbf2
Nrbp1,5.074504087,5.199584042,5.012474153,4.617728643,4.79942884,4.660593896,4.101300542,4.325164393,3.609032603,4.038455502,4.054342423,4.20013328,4.54799399,3.96931298,4.589907541,4.028398929,4.327734902,3.49722434,4.387033578,4.516787806,4.352345883,3.443131281,4.181706941,4.575427126,Nrbp1
Nrdc,8.315843937,8.540894741,8.151786523,8.14002681,8.007839987,8.315970017,8.599612778,8.256337239,8.384477274,8.045304565,8.526497406,8.269934198,8.40374501,8.051039785,8.156944556,8.535909802,8.57120884,8.065705321,8.263745393,7.904592963,8.252640917,8.124353749,8.269865855,7.975137666,Nrdc
Nrde2,4.870044562,4.674578176,4.545545052,4.834287244,4.169986464,4.893258583,4.462196482,4.901965201,4.030999621,4.425460974,4.171744268,4.919814759,4.867322992,4.91920472,4.589907541,4.386432551,5.044990492,4.78484354,4.387033578,4.605659832,3.520731101,3.696364492,4.887594483,3.859711011,Nrde2
Nrf1,3.989696104,3.954975638,3.992393625,4.10521418,4.169986464,4.508587871,4.683751104,4.113368393,4.030999621,3.145435003,4.054342423,4.312302671,3.696081671,3.828212598,4.41874307,4.028398929,3.310199413,4.495627456,3.704859078,4.211685854,4.330694707,4.413525649,3.69391283,4.244369201,Nrf1
Nrip1,6.939522148,6.927247625,7.855473038,7.461580164,6.596448649,6.953396647,6.82669439,6.876253489,6.85602196,7.038389862,7.098500245,6.518801101,6.346044859,7.651092996,7.109957277,7.216217414,6.340748048,7.243204966,7.16103185,7.121586515,6.780220282,6.460943351,6.333119164,6.6971924,Nrip1
Nrp1,6.420235148,6.219297108,5.847111088,6.577623832,6.707405635,6.764950806,5.537109958,5.839625851,5.708084952,6.467237716,6.775813134,6.503128397,6.573767356,6.421458441,6.972280949,6.589405722,7.149952445,6.968247879,6.58217972,6.705235053,6.523809027,6.682301675,6.38796124,7.153767236,Nrp1
Nrp2,4.118549618,4.42009171,3.317020208,3.622527738,3.784622049,4.426123986,2.312647032,3.969553487,4.148071243,4.338001718,4.726502177,4.416376547,4.54799399,4.609967793,5.047149703,4.673044888,4.779834234,4.573545872,3.843358242,3.492618638,4.2200526,3.575296955,4.005857019,3.567211465,Nrp2
Nsa2,7.865398033,7.728376301,7.783470574,7.547400434,7.977002946,7.705710524,7.868150451,7.908559315,7.813850415,7.529450871,7.567007777,7.400674224,7.421029672,7.692394511,7.622881256,7.891217458,7.299826217,7.756144173,7.352973731,7.114032213,6.837785684,7.32274674,7.284049001,7.191463963,Nsa2
Nsd1,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,6.396455975,5.996282763,6.440008593,6.195938576,6.882999461,6.064537425,4.867322992,5.439346146,5.007420788,4.724117665,4.827550874,5.369370132,2.366402932,3.292993055,3.729791678,3.297625519,3.295363154,1.948910316,Nsd1
Nsd2,5.009518072,5.152499244,5.012474153,5.784980566,5.389293359,5.548131291,5.796518257,5.632368033,5.340930636,5.119335943,5.675912913,5.82081777,4.629297508,4.521064089,4.710112367,4.417795661,4.662121145,5.705731776,5.638908707,5.923866689,4.961836145,5.773511766,5.498897518,5.713735103,Nsd2
Nsd3,5.074504087,4.606330586,5.58183862,5.483450402,4.562361642,5.81441376,3.994964396,3.918242673,4.090722621,3.981874974,4.171744268,4.275873362,4.137277932,4.521064089,4.153474932,4.62009752,4.392622838,5.412413208,4.293468905,3.824263042,4.287715101,4.671566173,4.181706941,4.866422487,Nsd3
Nsdhl,4.941466123,4.060768594,4.23961017,4.466259571,3.027674668,4.146009415,3.468047492,4.610224903,3.763811499,4.244896377,4.381269219,4.035567372,4.474676602,4.426319966,4.356857225,4.724117665,4.626414837,4.647470763,3.551638157,3.824263042,2.981483135,3.135781248,3.805558255,3.567211465,Nsdhl
Nsf,4.941466123,4.570956638,4.718529288,4.687889044,5.002982867,4.508587871,4.200334178,4.901965201,4.914864762,4.145365347,4.280307112,4.275873362,4.684316688,4.215837255,4.642728899,4.253682098,4.873739699,5.183077272,4.293468905,5.16924672,4.352345883,4.611252726,4.835932348,4.866422487,Nsf
Nsfl1c,6.629337642,6.684058596,6.448137335,6.292491885,6.637790719,6.383078311,6.66271217,6.778934283,6.748881615,6.467237716,6.443627259,6.680819872,6.538223156,6.516512059,6.333794552,6.518844761,6.715190962,6.533946191,6.521574275,6.68498311,6.657703693,6.753791025,6.792066779,6.90389423,Nsfl1c
Nsmaf,6.289475896,5.828000897,6.372454231,6.235067595,5.436914762,6.245573988,5.220603991,5.463675826,4.979483652,5.092864389,5.126196884,6.157576954,6.050503139,6.0286247,6.284782906,6.140698043,5.761835405,5.682357871,5.390443518,5.816256113,6.344780872,6.136549974,5.742823143,5.266587207,Nsmaf
Nsmce1,5.6866631,5.828000897,5.847111088,5.463587483,6.26820445,5.467960127,5.196815012,5.144517672,5.365317588,5.337971243,5.126196884,4.871804261,4.038974582,4.566200651,4.668431616,4.955437428,4.961904582,4.751707084,6.45831082,5.482535095,5.858247046,5.534620858,5.656111495,5.995575757,Nsmce1
Nsmce2,5.412811534,5.453765883,4.23961017,5.293996764,5.527686372,5.196654985,4.539890388,4.734084956,4.776236942,4.585919608,3.630935074,4.966278871,4.474676602,4.097834408,3.916640775,4.107467127,4.571421951,4.647470763,4.293468905,5.109717548,4.585301305,4.671566173,4.726703245,4.866422487,Nsmce2
Nsmce3,4.631747522,5.053452623,4.718529288,4.995130512,5.124300144,4.146009415,3.994964396,3.969553487,3.609032603,4.038455502,3.630935074,4.544402391,4.31581817,4.097834408,3.999980761,4.028398929,4.034349887,4.232912568,4.293468905,2.443030594,4.2200526,3.696364492,4.410841038,4.404477722,Nsmce3
Nsmce4a,5.486299764,5.635968199,5.790080225,5.50304356,5.181335942,5.713718903,6.146203426,6.020814865,5.782409761,5.425432291,6.371830979,5.882689899,5.390208764,5.857621895,6.011126463,5.960754181,5.303055033,5.879305112,5.478106693,5.923866689,5.042396434,4.940265679,5.303538016,5.339593067,Nsmce4a
Nsrp1,4.346147907,5.608318313,5.364664304,5.04944123,5.181335942,5.624080875,5.780602547,5.920079613,5.04133189,5.382364439,5.238110164,5.011293111,5.198597911,5.802102219,5.123468729,4.889850633,4.779834234,5.717106578,5.434940843,5.109717548,4.785818187,5.773511766,5.626009458,4.866422487,Nsrp1
Nsun2,5.509986884,5.857660737,5.847111088,5.650888283,4.79942884,5.660607089,6.242301019,5.533536942,5.818183898,5.952670514,5.808728218,5.496056926,5.029706393,5.893482465,5.621416801,5.394312945,5.737062136,5.682357871,4.848326163,4.42207966,5.118695144,4.264842232,5.16385927,4.798989404,Nsun2
Nsun4,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.200334178,5.099160249,4.256351678,3.797461041,3.630935074,4.822140891,3.411773296,3.496346654,4.478083091,4.507990544,4.327734902,2.913856957,4.636038786,3.965283607,4.352345883,3.135781248,3.572897347,3.859711011,Nsun4
Nt5c3a,6.956861641,6.855559044,6.960004055,7.186613586,7.118564828,6.862248408,7.553871091,7.576124956,6.838708708,7.158128359,6.775813134,7.34900622,6.785634577,7.619321927,7.14699523,7.360394283,6.893915487,7.105725233,7.459122942,7.305278182,7.204548619,7.457320762,7.393077258,6.997105572,Nt5c3a
Nt5dc3,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,7.81053437,7.805229591,8.130755036,7.821761992,7.163729176,7.434119371,6.501781072,7.255933996,6.961925329,6.656675929,6.466638736,5.279228577,6.962556018,6.802437996,7.0764898,6.739773748,6.896628604,6.293826935,Nt5dc3
Ntan1,5.644480764,6.149071223,6.346317762,6.22330327,6.418105471,5.982537823,6.959860463,7.200036031,7.530885335,6.747343176,7.36204044,6.116964916,6.956937176,7.387498613,6.940988388,7.005301077,7.249652402,6.800160698,6.977674842,7.166100026,6.997863196,6.848274279,6.921626422,6.786943,Ntan1
Ntmt1,4.542685094,4.707528267,4.944410053,5.293996764,4.645788032,5.146028263,5.045203361,4.901965201,4.701585051,5.24486387,3.029085775,4.544402391,5.349773684,4.91920472,4.535078495,4.253682098,5.336423361,3.327698283,5.390443518,4.843501524,4.876509916,5.035140875,4.887594483,4.210514485,Ntmt1
Ntmt2,5.253551677,5.915211506,5.199289713,5.381282642,5.289058416,5.50860253,5.459262055,6.627426295,4.357069508,6.065879622,5.004866608,5.756172801,4.923506244,4.426319966,4.153474932,4.82113958,4.51424948,4.133513809,5.390443518,5.226416599,5.042396434,5.534620858,5.359494434,4.992511252,Ntmt2
Ntn4,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,3.61888228,3.496569199,4.539586725,4.145365347,4.381269219,3.945663895,4.474676602,4.521064089,4.478083091,4.673044888,4.034349887,4.026756568,4.557717041,3.965283607,4.961836145,5.124159975,4.60852178,5.108460355,Ntn4
Ntpcr,4.236832329,4.947101505,4.450596988,4.543981044,4.278528499,4.862231199,3.61888228,4.067004931,4.256351678,4.922943902,3.258739612,4.481809142,3.411773296,3.064592419,4.742901443,3.433272951,3.556625784,3.327698283,4.293468905,4.211685854,4.585301305,5.166691024,4.410841038,4.404477722,Ntpcr
Ntrk2,4.236832329,4.83228211,3.992393625,4.10521418,4.37947261,3.508558553,4.200334178,4.244137751,5.04133189,5.038417994,4.054342423,4.77070677,5.862110719,4.521064089,4.153474932,4.028398929,4.51424948,4.78484354,4.780975787,4.843501524,4.585301305,3.911715068,4.835932348,4.728249219,Ntrk2
Nub1,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.990906104,4.673483745,5.212400367,4.861545124,4.280307112,4.275873362,4.397432816,4.376507658,4.693684423,4.82113958,3.90687589,4.817235961,5.520018441,5.434820261,5.118695144,5.166691024,5.284392963,5.266587207,Nub1
Nubp1,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.814558332,4.544064598,5.212400367,5.922923585,3.630935074,5.178495587,3.411773296,3.064592419,3.139999423,4.028398929,3.66566404,4.026756568,4.387033578,4.320714681,3.520731101,4.785118054,4.60852178,4.492482985,Nubp1
Nubp2,4.236832329,4.060768594,4.348957116,4.297001819,4.37947261,3.508558553,4.200334178,3.865039428,3.010110407,3.797461041,4.564187815,4.120195526,4.617764911,4.426319966,4.292197284,4.56513269,4.327734902,3.786150476,4.557717041,4.605659832,4.352345883,3.911715068,4.410841038,4.210514485,Nubp2
Nucb1,6.493355603,6.607566511,6.107968913,6.935805934,6.596448649,6.586612757,6.73881825,6.742522677,6.82118516,6.922913426,5.979477529,6.666820129,5.731924401,4.860261014,5.189931038,5.899196957,5.457529102,6.061519001,6.931834587,6.601006783,6.523809027,6.607084303,7.005857681,6.342002844,Nucb1
Nucb2,3.515217212,4.060768594,3.317020208,3.471588946,3.924829045,4.039091312,4.934485126,5.724860645,4.701585051,4.861545124,4.564187815,4.544402391,5.080011809,4.426319966,4.693684423,4.321583675,4.961904582,5.717106578,5.144700157,5.047625944,5.32600864,4.890380923,5.797864515,5.657734952,Nucb2
Nucks1,4.941466123,4.611910788,4.340507959,4.765866819,5.486639455,4.580504479,9.04152941,8.528545214,8.579484384,8.420093407,8.668105471,8.711295801,8.618937572,8.376563133,8.440400454,8.635981175,8.669403667,8.41167249,8.32117677,8.200472822,8.412737572,8.151078666,8.39116094,8.223589617,Nucks1
Nudc,6.420235148,6.633517118,6.871140127,7.198679667,6.7362421,6.877845324,5.8122603,5.533536942,6.320373006,5.695516558,5.946906212,5.9303454,5.645369077,5.258662292,5.483428327,5.362429433,5.550605545,5.302297457,5.81757929,5.16924672,5.32600864,5.468161354,5.626009458,5.731928971,Nudc
Nudcd1,4.715630049,4.890833769,5.139665865,4.687889044,5.002982867,5.338675696,4.293004156,4.610224903,4.357069508,4.585919608,4.647626496,4.544402391,4.808862811,4.324913771,3.999980761,4.028398929,4.034349887,4.78484354,4.193412749,5.334378266,5.191160582,4.099056113,4.726703245,5.108460355,Nudcd1
