,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,ML_F1_10_a,ML_F1_201_d,ML_F1_205_b,ML_F1_205_c,ML_F1_208_b,ML_F1_8_c,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48
Pgap4,4.201287462,4.253317193,3.601561341,4.251396128,2.775909185,3.25288334,3.836036295,3.522064715,4.549701013,4.05349137,3.454044779,3.522478242,3.189329564,3.267415073,3.003647009,3.972405742,3.295151229,3.264657852,4.568124372,5.06002183,5.402988203,5.120074776,5.026528528,5.329617021
Pgd,4.293633377,4.334139738,4.526974853,4.34424182,3.647418746,4.353763736,4.41258887,3.925672729,3.649755977,4.379161702,4.201646476,3.744084909,4.384282689,3.898238637,4.603946043,4.694484842,4.317295203,4.452940978,4.720455994,5.346460756,5.205348672,4.726303758,4.979987341,4.590260786
Pggt1b,2.89756293,3.875341429,4.438959657,3.517240473,4.395998511,3.525689529,4.199578418,4.122809418,4.015633207,4.845598174,4.436672706,4.350145515,4.084308414,4.857647467,5.437354286,4.610955628,4.838445828,4.667483333,4.204615229,4.529956688,4.600233637,4.411320956,4.003488975,4.742861911
Pgm1,10.70011985,9.935908375,10.29834613,9.993204153,9.756231784,10.69477484,10.74848588,10.89953324,10.86695238,10.67760159,10.63681024,9.939565337,1.961451423,2.120376957,1.371671746,2.459655242,1.371671746,3.264657852,10.22955286,10.24429425,10.1062004,10.06344482,10.25438939,9.867019855
Pgm2l1,7.065170596,6.446298369,6.40010733,6.940847369,6.179395879,6.461238117,5.692092865,6.420512928,5.983554503,6.107128715,5.79716724,6.517658765,6.292488074,6.709970633,6.994763787,6.29148579,6.253940993,6.319073652,6.245944759,6.326422813,6.019753327,5.961027041,6.362105788,5.866781455
Pgm5,5.678841896,5.10666787,4.762764897,6.041940132,4.661921909,5.367413106,5.363730031,3.994421857,5.34448174,5.779170588,5.748076253,5.206736978,5.877291271,5.836915418,5.244097556,7.078268599,5.771680343,6.254184323,5.721933444,4.781261694,6.116789215,5.76835472,5.649146485,5.632857495
Pgrmc1,4.380422216,4.483351203,4.244972264,4.34424182,4.395998511,4.609684367,3.42935998,3.994421857,4.549701013,4.644685551,4.272792533,5.255589543,4.96984297,4.05924156,4.521035128,5.856426893,4.684740347,4.939232595,4.720455994,4.9952172,4.891045601,4.411320956,4.541118774,4.507446727
Pgrmc2,6.215895187,5.990417701,5.301144654,6.013949668,5.708841567,6.219515649,5.692092865,5.844820255,5.9416474,5.539363707,5.913049005,6.392190577,5.924617542,6.081542043,6.05354849,5.662623646,6.079876393,5.693471543,5.422032346,5.585341241,5.463277246,5.809002759,6.104508575,5.899626875
Pgs1,5.534913545,5.607071465,5.086192952,5.386596534,5.99248243,5.401676334,5.986261331,5.363029738,6.176568963,6.219941874,6.195321868,5.435967182,6.113454815,6.154661111,6.527081577,6.26440564,6.048708698,6.186238391,5.529077394,5.585341241,5.274281034,5.24383822,5.353020708,5.177215762
Phactr2,4.68322075,5.470721589,5.027049378,5.200448323,4.88637436,5.296344368,5.518954082,4.451002368,5.34448174,4.207366795,5.096456656,6.02044305,4.554406978,4.567556256,4.521035128,4.773441419,4.512684531,4.452940978,5.444086196,5.711730587,5.402988203,6.008338908,5.42427775,5.883297636
Phactr4,3.622418372,2.258666846,4.137230398,4.152161782,4.186875727,4.042440962,4.632569424,4.718198281,3.84426226,3.881222532,3.680244816,4.157942973,4.632493393,4.335671311,4.015164667,4.773441419,4.091235642,4.76386698,4.204615229,4.529956688,4.367658392,4.182956258,3.804193017,4.507446727
Phaf1,5.332114144,4.74218801,5.4881839,5.097516697,5.251686577,5.182712068,5.889978032,6.369658809,5.553687807,6.183308982,4.526750171,5.477745653,5.028784471,5.368625433,6.023742965,5.23056825,5.428503473,4.200825396,4.485468926,4.9952172,5.576785861,5.076342888,4.979987341,5.0067929
Phax,5.870938682,5.639236451,6.030169834,5.926564541,5.355441186,5.561755311,6.012630499,5.807095111,6.102432304,5.650890428,5.533080478,5.705807115,5.028784471,5.099060147,5.136805823,5.285479123,5.566931456,5.538603881,5.75759337,5.628713009,5.340069437,5.874303595,5.919593624,5.552521207
Phb,6.618381053,6.57658642,6.626169399,6.078345422,5.269328401,6.563902228,7.878274911,7.770972046,7.880628382,7.802681227,7.497535693,6.8367223,7.715917646,7.551267524,7.405511118,7.620427247,7.777016524,7.855123685,7.347382725,7.172328746,7.060659889,7.559440548,7.411157867,7.444178773
Phb2,7.897784441,7.753371575,7.656765301,7.706987171,7.103614818,7.524733766,6.886945702,6.84957035,6.932509368,6.74477346,6.823684552,7.128855215,1.371671746,2.976147538,1.371671746,2.015882001,1.371671746,1.371671746,7.319856779,7.220326461,7.398373131,7.672654413,7.645402625,7.654408664
Phc1,5.096070484,5.320127258,4.762764897,5.097516697,4.815367332,5.142754739,5.481685546,5.13842084,5.099708065,5.062828825,5.172843846,4.808731913,6.057938485,6.224252414,6.13943947,5.114048539,6.253940993,5.877070674,4.790986096,3.979620845,4.367658392,4.26316196,4.603851987,4.225980678
Phc2,4.462284998,4.74218801,4.762764897,4.802594113,4.069726052,4.72241615,3.42935998,4.240699416,3.08325371,3.737017905,3.781300727,3.522478242,4.777027123,5.022991025,4.682349955,4.848300119,4.977340722,4.76386698,5.569766264,5.864677402,5.521147597,5.203751949,4.830614526,5.422950345
Phc3,5.929678811,6.002832367,5.653733701,5.734108179,6.309110877,6.190411717,6.038526338,6.999262288,5.736363417,5.650890428,6.148798521,7.128855215,2.70225921,3.716984318,4.015164667,3.6762367,4.317295203,4.200825396,5.792393089,6.850715595,6.389593331,5.874303595,5.735732555,6.61465997
Phf1,3.882409289,4.076672438,3.234188542,3.930522402,4.578610645,3.094328759,3.836036295,3.522064715,3.424878207,3.786704995,3.680244816,5.049393112,4.844203419,5.099060147,4.3393853,4.773441419,4.418295126,4.200825396,4.922475423,3.838977715,4.090246198,4.480059673,4.830614526,4.742861911
Phf10,5.043846313,5.359275011,5.83707939,5.296522642,5.821840029,5.401676334,5.142791048,5.255091968,5.634824947,5.568064013,5.47392358,5.991893367,3.382487861,3.267415073,4.521035128,2.459655242,3.065301303,3.264657852,4.983983051,5.446806885,4.703822401,4.608429072,4.541118774,5.122614808
Phf12,4.293633377,4.483351203,4.244972264,4.431471934,4.069726052,4.042440962,4.41258887,4.634513394,4.307240435,4.589759361,4.272792533,4.934074901,4.706569482,5.099060147,4.682349955,4.848300119,4.684740347,3.713955523,3.394086447,4.856161606,5.274281034,4.88681567,4.931894548,4.813507463
Phf14,4.68322075,5.195875877,5.301144654,5.200448323,5.542935482,4.72241615,5.44342868,5.414113968,5.099708065,4.797931756,5.096456656,5.477745653,3.705134155,4.857647467,3.749834074,4.522291406,3.065301303,4.667483333,4.646299803,4.927364131,4.800468942,5.076342888,5.198990914,5.552521207
Phf2,5.929678811,5.87359916,5.871109591,6.069397857,5.959930543,5.561755311,5.87568332,4.943555875,5.608283039,5.320682925,5.79716724,5.633719413,5.970440503,6.081542043,5.647386002,5.994666949,5.652348351,6.186238391,5.444086196,5.06002183,5.463277246,5.795580263,5.843646013,4.742861911
Phf20,6.942171849,6.409471705,6.544171965,6.626496055,7.231847938,6.580149948,6.798781532,7.340318764,7.319578064,7.477865995,7.017392401,6.669592892,6.473116541,6.501540242,6.639441575,6.29148579,6.333682946,6.254184323,6.801662243,6.685969278,6.078754418,6.234078415,6.492164871,6.644033535
Phf20l1,7.129227992,6.649461353,7.174832355,6.92590384,7.204320465,6.75160635,7.283286119,7.823878751,6.985031463,7.292515655,7.28597145,7.180369674,5.429600546,6.414900497,6.370125254,6.29148579,5.732989453,5.919538643,7.000785679,7.418691138,7.367155937,7.249005894,7.088135134,6.9797527
Phf21a,2.89756293,4.076672438,3.601561341,4.172562229,4.069726052,4.042440962,4.372428776,3.853482834,3.649755977,3.03463318,4.340594321,4.872764222,3.842898754,3.267415073,5.020889196,3.831907934,4.15115707,5.019519767,3.200381863,4.247872792,4.235609909,4.007785157,3.441651392,4.002304404
Phf23,5.534913545,5.87359916,5.397693262,5.768020403,5.586234643,6.002262507,5.786806479,5.255091968,5.376290653,5.729218775,5.533080478,5.774463555,3.705134155,3.716984318,3.749834074,3.303134535,3.963366263,3.713955523,5.353772878,4.781261694,4.976269969,5.162519943,5.353020708,4.880854549
Phf3,6.06684724,6.6255764,6.585753157,6.013949668,6.843027204,6.474175983,6.06396554,6.445283195,6.440034194,6.557092754,6.606774629,6.932523842,6.153733576,6.189876331,6.381920652,6.394992615,6.048708698,6.52563526,4.8249989,4.819197664,4.346045763,4.826322021,4.777177112,4.801739155
Phf5a,5.809705031,5.320127258,5.374155071,5.249285077,4.620867565,5.349971431,5.094232058,5.826080989,5.760669425,5.001023558,5.575908777,4.257242644,6.280411226,5.368625433,5.977847307,5.532471392,6.183947817,5.877070674,5.465807988,5.446806885,5.871906941,5.740605498,5.441555356,5.593248468
Phka1,8.97606544,8.347234074,8.719300839,8.779255091,8.453681376,8.623820827,8.902403523,8.633615477,8.699124371,8.348310231,8.798752174,7.756727083,8.712415476,8.645413405,9.360209629,8.110738099,8.861724973,8.307755065,8.461956202,8.75219201,8.700715258,8.30458798,8.460720857,8.258724633
Phkb,9.951244224,9.714151044,9.610451806,9.797751499,9.135062759,9.655033239,9.853617747,9.533949361,9.677174458,9.575082515,9.244879042,9.388797366,9.334384494,9.139926475,9.790147267,8.691191699,9.130881116,9.108905404,9.132661472,9.32193176,9.431574637,8.827440191,9.205291353,8.673879736
Phkg1,7.397207794,7.023027044,6.089188201,6.92590384,6.692653003,7.134378127,7.513065826,6.629478527,7.331796987,6.997781228,7.131847756,5.90881103,8.162048504,8.311496109,8.717312372,7.543780666,8.365398333,8.208489916,6.884637615,6.832282108,6.601055965,6.752296482,7.005389593,6.401881933
Phlda1,3.996714223,4.334139738,3.89411593,4.152161782,4.069726052,5.561755311,3.712790546,5.557334942,5.553687807,5.91941816,5.135155756,4.597583751,5.909013984,6.995192565,6.743679506,5.438685552,5.881891462,6.411243225,3.981518109,3.683128023,3.746479132,3.697267791,3.907279642,2.726627405
Phlda3,9.155970276,8.78478677,9.402216331,8.762530137,8.387908627,9.16256454,7.727237816,8.538976574,8.274472608,8.030274776,8.220976514,7.98391819,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,9.055970889,8.951095283,8.942269272,8.953660097,9.119329366,8.706730933
Phldb1,3.47244071,3.979516106,4.020788144,4.735617019,4.395998511,3.857323664,5.235264753,4.943555875,4.371781404,5.102608715,4.583821633,4.350145515,1.371671746,1.371671746,1.371671746,1.371671746,2.011990664,1.371671746,4.720455994,4.9952172,4.367658392,4.726303758,5.15776935,5.065865839
Phldb2,4.293633377,4.253317193,4.526974853,4.34424182,5.452232064,4.876542017,5.404129634,5.844820255,4.708068048,4.278557808,5.347794317,5.435967182,2.70225921,3.898238637,2.735979671,3.303134535,2.453929711,3.713955523,4.304432686,4.107762856,4.976269969,4.098027721,3.804193017,5.065865839
Phlpp1,3.622418372,4.076672438,3.601561341,4.431471934,4.740683721,3.755021493,3.712790546,4.240699416,4.549701013,4.644685551,4.405352173,4.257242644,4.291053699,3.716984318,3.003647009,4.522291406,4.208688631,4.056055878,3.981518109,4.225445805,4.235609909,4.480059673,4.093681527,4.507446727
Phlpp2,3.996714223,3.763054927,3.234188542,3.348192456,3.80233416,2.916172338,4.823402951,4.451002368,4.433558258,4.132479623,4.126809047,4.257242644,5.594753749,5.486606676,5.437354286,5.338376421,4.763639103,4.200825396,4.097374823,4.9952172,4.891045601,4.545671673,5.026528528,4.002304404
Phospho1,5.534913545,5.059906257,5.729890046,5.956284923,5.196869963,6.567679583,6.419722617,7.072640081,6.798058909,7.05972261,7.353170831,5.871685468,6.940359173,6.384824448,7.069605008,6.727982132,6.903133304,6.866823691,6.377824283,6.098602179,6.696322037,6.893431001,6.082649449,6.179205489
Phospho2,6.143295166,5.701491844,6.490451316,5.589877169,6.024316018,5.591744938,6.038526338,6.08442733,6.264183875,6.422119999,6.081037586,5.103770221,5.940054143,5.595664734,6.1113735,5.285479123,6.016852767,5.877070674,5.685369704,5.827933799,5.463277246,5.683452614,5.389089122,5.377038311
Phpt1,7.934102855,8.039059415,7.96320483,7.864187202,8.051874249,8.466813194,8.027972475,8.026237926,8.113936883,8.09086522,8.059337822,7.669282502,8.274697587,8.237693252,8.406866479,8.227514938,8.19559187,8.39311264,7.81052508,7.479182259,7.443967812,7.525937893,7.59224495,7.585426302
Phrf1,4.102623853,4.076672438,3.89411593,4.431471934,4.578610645,3.39572513,4.823402951,3.322602624,4.239676365,3.969926702,4.126809047,4.519726227,3.705134155,4.857647467,4.682349955,3.501713369,4.838445828,4.200825396,1.966639354,2.46423466,2.135319246,2.221707554,1.856944956,2.399246957
Phtf2,8.242876009,8.542703054,7.852581438,8.24743537,8.375620977,7.87497339,8.718401774,8.907614271,8.257492382,8.541591553,8.301868206,7.324718093,7.374534258,7.924091615,8.23542913,7.109038541,7.448106156,7.599670026,8.556092339,9.097206525,9.18536711,8.797451829,8.658388101,8.573131636
Phyh,7.819723923,7.956389763,7.123946687,7.925573377,6.738090299,7.267328617,7.294075663,6.69971917,7.171801654,7.281033034,7.25116032,6.728404067,7.391476755,7.014963952,6.527081577,7.287771207,7.044133695,7.186693626,8.118877364,8.008727057,8.265572892,8.123062802,7.859783544,8.076823116
Phyhd1,4.87477236,3.875341429,4.438959657,4.34424182,4.578610645,4.487391368,4.823402951,4.718198281,5.311955655,5.38661718,5.245389091,5.518348248,4.471851039,4.335671311,4.131524061,3.072792283,4.512684531,4.76386698,4.097374823,4.781261694,4.488627598,4.480059673,4.475533212,4.880854549
Pi16,3.996714223,3.763054927,3.89411593,3.930522402,3.647418746,4.422124133,5.043981545,3.853482834,4.371781404,4.132479623,4.742624044,4.257242644,5.70728661,5.022991025,5.830690552,6.394992615,6.169532266,4.854212702,3.717496546,3.508380306,3.746479132,4.33914254,4.406823512,4.326029573
Pi4k2a,4.989660443,4.552542462,4.68836933,4.34424182,5.018692524,4.826973959,4.56290408,4.718198281,4.604444493,4.346400422,4.340594321,5.435967182,3.382487861,4.335671311,4.603946043,3.972405742,3.493364246,4.667483333,4.858228257,4.618678735,4.800468942,4.182956258,4.979987341,4.118473069
Pi4ka,4.933359729,4.800240712,4.345223994,4.866599258,4.954049872,4.924463437,3.172979807,3.853482834,2.831183116,3.396499653,2.657246907,3.744084909,4.291053699,4.94268665,4.827427718,4.100427122,4.317295203,4.056055878,4.858228257,4.927364131,4.891045601,5.120074776,4.882143112,4.419587897
Pi4kb,5.929678811,5.670699928,5.443647949,5.471375667,4.954049872,5.732998921,5.142791048,5.557334942,5.711640883,5.179021811,5.412236884,3.93614039,5.385179267,5.428821758,5.294892387,5.662623646,5.328241022,5.483052824,5.306403629,5.346460756,6.078754418,5.529803451,5.968091382,5.552521207
Pias1,5.096070484,5.470721589,5.397693262,5.043159178,4.954049872,5.015780036,5.189768695,5.197935486,5.58124366,4.707950421,4.885666909,5.962767284,5.028784471,5.368625433,5.897952883,5.577172877,5.042075585,5.095573454,5.529077394,4.856161606,5.228462408,5.463448856,4.931894548,5.708955251
Pias2,6.013534441,6.292991409,6.226963712,5.833543207,6.309110877,6.190411717,5.755921042,5.952415002,5.87641194,6.010062413,6.040838441,6.325112205,5.909013984,5.745197458,6.346241137,5.92720207,5.809360646,5.960792165,5.04297525,5.293542885,5.630357848,5.874303595,5.588393646,5.422950345
Picalm,6.759940102,7.010785681,7.119281954,6.767282936,7.411101585,6.984194357,6.419722617,7.056653393,6.750305679,7.092986103,6.367722945,7.756727083,6.555602126,6.975146452,6.797514086,7.093735602,6.88560124,6.822750894,6.488076113,6.956628338,7.070383802,6.273342082,6.913403606,6.355283479
Pick1,3.996714223,3.979516106,4.345223994,3.668541594,3.80233416,4.667151082,4.054830464,4.545673745,4.168792015,4.132479623,3.454044779,3.93614039,3.705134155,3.898238637,4.239194987,3.6762367,4.208688631,2.973617198,4.304432686,4.107762856,4.488627598,4.781815806,4.406823512,4.002304404
Piezo1,3.996714223,4.552542462,6.030169834,5.097516697,3.942216125,5.561755311,3.712790546,4.240699416,3.297763508,4.207366795,3.964373405,4.519726227,4.777027123,4.20406705,4.43306727,3.972405742,5.37924306,3.895122139,3.855538603,3.508380306,3.000833825,3.911518911,3.441651392,2.726627405
Pigbos1,4.989660443,5.470721589,5.692314328,5.043159178,5.018692524,5.467854162,5.322166451,5.807095111,5.1373226,5.754410862,4.885666909,5.633719413,5.429600546,5.022991025,5.136805823,5.23056825,5.522248507,5.236616384,5.685369704,5.935470993,5.731879612,5.497007605,5.919593624,5.552521207
Pigc,4.613268578,5.011578056,4.762764897,4.152161782,5.196869963,4.353763736,4.699025137,5.310070062,4.549701013,4.278557808,4.583821633,4.157942973,4.632493393,4.767279962,4.827427718,4.848300119,4.418295126,5.425276811,4.922475423,4.702259267,3.294292241,4.411320956,4.406823512,4.002304404
Pigg,4.68322075,5.397388488,5.301144654,5.296522642,4.069726052,4.206483745,4.632569424,4.240699416,4.708068048,4.132479623,4.272792533,4.992885909,4.291053699,4.857647467,4.7567117,4.522291406,4.418295126,4.667483333,4.204615229,4.618678735,4.703822401,4.668569942,4.178565768,4.326029573
Pigh,4.813704698,6.002832367,6.423229229,5.734108179,4.578610645,5.979757987,4.41258887,5.011477698,4.604444493,4.473205151,4.201646476,6.048438707,4.844203419,4.857647467,3.424454831,5.338376421,4.838445828,3.895122139,5.25742611,5.181502053,4.800468942,4.781815806,5.458628493,4.945197493
Pigk,5.332114144,5.701491844,5.4881839,5.471375667,5.196869963,5.861647755,5.043981545,5.844820255,5.407413337,5.179021811,5.172843846,4.67145383,1.961451423,3.267415073,2.735979671,3.303134535,2.453929711,2.118851082,5.25742611,5.540625066,5.630357848,5.393894627,4.979987341,5.329617021
Pigl,4.201287462,3.875341429,4.137230398,3.805470524,4.395998511,4.775642062,4.15292432,4.240699416,5.376290653,4.797931756,4.638721061,4.597583751,3.552811906,3.898238637,3.229339583,3.501713369,3.065301303,3.264657852,4.397788606,5.293542885,4.800468942,5.03124382,5.588393646,4.742861911
Pigm,3.882409289,4.618566641,4.020788144,4.045594184,4.186875727,3.25288334,4.244770951,4.451002368,3.424878207,4.346400422,5.180264743,4.350145515,3.968647162,3.716984318,4.603946043,4.100427122,4.317295203,4.76386698,4.922475423,3.683128023,4.367658392,3.697267791,4.406823512,4.590260786
Pigq,7.65828426,7.339202825,7.215135028,6.864532028,6.912717872,7.316018871,7.022876589,6.517140107,6.921771536,7.128778779,7.043057955,7.088975146,6.725571373,6.556538164,6.60965547,6.491567833,7.020231628,6.681828278,7.015588891,6.675666619,6.645187311,7.014237171,7.141972911,6.916966207
Pigs,4.989660443,5.359275011,5.653733701,5.471375667,4.954049872,5.221592487,5.481685546,5.602080963,5.061086514,5.179021811,4.691607738,6.347819967,5.594753749,5.486606676,5.647386002,5.486340434,5.732989453,5.538603881,5.353772878,5.494478464,5.576785861,5.822301525,5.86940868,5.816067196
Pigt,7.226148068,6.649461353,6.855954481,6.607890939,6.0859504,6.829183588,6.399881342,6.650933409,6.527623725,6.626957554,6.564866187,6.456288205,6.633625597,6.154661111,6.416739026,6.981813648,6.987733446,6.730348147,6.924401717,6.716443032,6.189976647,6.705264984,6.59611476,6.378770837
Pigu,5.870938682,4.961574651,5.802227055,5.386596534,4.88637436,4.826973959,5.44342868,5.76835694,4.895348127,5.251590418,5.172843846,4.437426095,5.555203853,4.767279962,5.191448857,5.285479123,5.652348351,5.167817839,5.099649705,4.9952172,5.682011551,5.03124382,5.492180325,5.065865839
Pigv,4.102623853,4.334139738,4.609927818,4.591544559,5.018692524,4.282002341,4.699025137,5.255091968,5.278679309,5.021920893,4.973711621,4.519726227,4.632493393,4.456267647,4.039199459,3.972405742,3.295151229,4.564196545,4.485468926,4.856161606,4.235609909,5.076342888,4.72168399,4.668578083
Pigx,5.840646706,5.151961278,5.086192952,5.097516697,5.080562532,5.367413106,4.054830464,5.363029738,4.757216113,5.286550248,5.096456656,5.255589543,5.429600546,5.647250364,5.647386002,4.773441419,5.693232269,5.425276811,5.099649705,5.628713009,5.682011551,5.683452614,6.082649449,5.915773357
Pigy,5.096070484,6.292991409,5.802227055,5.699379581,5.857621447,7.103485927,6.551458918,5.602080963,5.920228338,6.126554211,6.564866187,5.774463555,6.555602126,6.501540242,6.60965547,6.179974863,6.359313328,6.186238391,6.331250967,5.864677402,6.259629872,5.948952607,6.397950572,5.816067196
Pih1d1,4.87477236,5.23849314,5.027049378,5.249285077,4.661921909,4.72241615,4.489703269,4.797293935,3.84426226,4.346400422,4.405352173,5.156172011,4.908390454,4.670871519,5.191448857,4.100427122,4.909564136,5.236616384,4.397788606,3.838977715,3.840399588,4.835270768,3.693169672,4.419587897
Pik3c3,5.745756737,3.979516106,5.250334047,4.513727194,4.740683721,3.25288334,5.235264753,5.076345039,4.895348127,5.021920893,3.680244816,4.872764222,4.471851039,3.898238637,4.3393853,3.072792283,4.208688631,3.895122139,4.922475423,4.618678735,4.976269969,5.03124382,5.026528528,4.880854549
Pik3ca,6.984347383,6.633582068,7.133371364,6.864532028,7.231847938,6.738261337,7.261461896,7.237708873,7.07500613,6.888242155,7.15085812,6.595624979,7.351630244,7.282997088,7.484987684,7.183209168,7.361978878,7.546464247,6.400559003,6.850715595,6.793455753,6.676262801,6.564920453,6.574541113
Pik3ip1,7.531274769,6.409471705,7.174832355,6.716084274,5.708841567,5.910058223,6.533360054,7.664241067,6.583195323,6.841986568,6.100724775,6.722681793,3.552811906,3.509641011,3.596298156,3.6762367,3.493364246,2.973617198,6.955442265,7.006804806,6.450433048,7.09315912,7.584488545,6.710331878
Pik3r1,5.416684325,5.607071465,4.68836933,4.735617019,5.251686577,4.924463437,5.44342868,5.511156552,5.311955655,5.480191275,5.561773476,6.991396839,3.968647162,5.022991025,4.827427718,4.987284647,4.091235642,4.200825396,6.128287966,6.568379088,6.039689667,5.683452614,5.557030111,4.945197493
Pikfyve,3.622418372,3.508283507,3.234188542,4.735617019,4.186875727,4.126792675,4.054830464,4.451002368,3.84426226,4.207366795,3.875739026,4.741725074,4.777027123,4.767279962,5.191448857,4.522291406,4.317295203,4.056055878,3.717496546,5.122040199,4.090246198,2.753005697,3.136826938,4.54944789
Pim1,5.096070484,4.552542462,4.020788144,4.045594184,3.942216125,6.303462267,5.094232058,6.08442733,5.9416474,5.568064013,6.158223986,5.477745653,4.632493393,4.05924156,3.424454831,4.100427122,3.963366263,3.713955523,4.204615229,4.618678735,4.367658392,3.911518911,3.804193017,3.875955929
Pim3,5.146470047,5.23849314,5.250334047,4.251396128,3.80233416,4.487391368,3.836036295,4.451002368,4.371781404,4.278557808,3.875739026,6.633082932,4.291053699,4.857647467,5.136805823,5.781999726,4.418295126,3.264657852,5.04297525,5.293542885,6.078754418,5.162519943,4.258731964,3.875955929
Pin1,7.110307636,7.36827969,7.329698317,6.984771095,7.019242144,6.537180138,7.067580063,6.830893082,6.974678898,7.128778779,7.164953287,6.048438707,7.218713843,7.315248245,7.054944142,7.281031302,7.143363852,7.389142598,7.258953509,6.488229061,6.523043199,6.761576783,6.678576122,6.672820962
Pin4,6.285016167,5.977895277,6.089188201,5.734108179,5.766446835,5.898107044,5.87568332,6.115625698,6.083287192,6.557092754,5.999487006,5.557839351,6.795128963,6.734028147,6.548172341,7.617005917,6.253940993,6.800199101,6.155275647,6.272750888,6.019753327,6.130973232,6.362105788,5.74554999
Pink1,9.794138006,10.22663432,9.4787027,9.936552094,9.4276663,9.428672758,9.541327298,8.839172012,9.530633496,9.745739979,9.707354431,10.02640869,10.90961777,10.96113818,10.67896446,11.065923,10.73116414,10.99633232,10.43484798,10.29565539,10.30461447,10.57690089,10.33864957,10.4568696
Pinx1,4.201287462,4.076672438,3.755241616,4.513727194,3.047805804,3.755021493,3.712790546,4.634513394,3.932490782,4.411195515,4.126809047,4.437426095,3.968647162,3.716984318,4.015164667,3.501713369,3.66760506,3.506727023,4.646299803,4.107762856,4.488627598,4.608429072,3.907279642,4.590260786
Pip4k2a,4.201287462,4.253317193,4.762764897,4.866599258,4.395998511,4.042440962,3.712790546,4.349679511,3.541694221,4.697597062,4.405352173,6.325112205,3.382487861,3.267415073,2.735979671,4.773441419,3.66760506,4.056055878,2.711559375,4.529956688,4.800468942,3.697267791,3.804193017,3.584266797
Pip4k2b,7.038729452,6.66516776,6.731807933,6.783953198,6.173729549,6.441611135,6.551458918,6.316946411,6.569501812,6.145721619,6.564866187,6.10285113,7.100047791,7.014963952,7.208559393,7.078268599,7.172572173,6.951124843,6.331250967,6.245147091,6.389593331,6.676262801,6.580601916,6.257312648
Pip4p1,4.201287462,4.167696694,4.345223994,4.591544559,4.88637436,4.924463437,4.244770951,5.414113968,4.850757634,4.936451576,4.340594321,5.705807115,4.632493393,4.05924156,4.3393853,3.972405742,4.418295126,4.452940978,4.485468926,4.856161606,5.056739454,4.608429072,4.093681527,5.0067929
Pip4p2,4.749937417,4.618566641,4.438959657,4.513727194,3.942216125,4.826973959,4.15292432,3.322602624,4.239676365,4.132479623,4.126809047,4.519726227,3.382487861,4.20406705,4.015164667,3.6762367,4.208688631,4.056055878,3.717496546,4.618678735,4.703822401,4.480059673,4.72168399,4.507446727
Pip5k1a,4.613268578,3.875341429,4.438959657,4.152161782,3.647418746,4.487391368,4.15292432,3.994421857,4.015633207,3.331025876,4.201646476,4.808731913,4.96984297,5.486606676,6.082750688,5.114048539,5.328241022,5.365090152,1.966639354,1.371671746,2.135319246,1.858409626,1.371671746,1.975076158
Pir,4.462284998,3.666475756,4.345223994,4.431471934,3.473845058,4.549833282,2.367441606,3.091070453,3.541694221,3.685558343,3.030083566,3.161478389,1.371671746,1.371671746,1.980332119,2.015882001,1.371671746,1.371671746,3.855538603,3.07877717,5.056739454,3.576893918,3.441651392,3.412839399
Pisd,4.102623853,4.076672438,4.244972264,3.930522402,4.069726052,4.667151082,3.949577107,3.522064715,4.549701013,4.132479623,4.340594321,4.992885909,5.514539107,4.670871519,4.43306727,5.438685552,4.838445828,4.76386698,4.646299803,4.435418855,3.000833825,4.608429072,4.603851987,4.419587897
Pithd1,6.532488715,6.895671919,6.804051209,6.569945057,4.954049872,5.142754739,6.688614197,6.395309929,5.96275311,6.307650193,6.334851588,5.774463555,6.877609862,6.635293156,7.221746182,6.625294697,6.614749078,6.618789647,6.42294101,6.002952602,6.039689667,5.973001259,6.362105788,5.7812394
Pitpna,7.62312229,7.329378833,7.22832288,7.223461174,6.479547689,7.082517403,7.585119669,7.320372333,6.932509368,6.513489977,6.550621739,6.705201662,6.595141253,6.556538164,6.439493026,6.603850059,6.504211341,6.75400957,6.57058651,6.272750888,6.225223575,6.437894408,6.483849692,6.378770837
Pitpnb,5.712687236,6.027345731,6.200441137,5.956284923,5.892536858,6.374189668,6.274737186,5.917434154,6.176568963,5.803512544,5.956915268,5.871685468,5.70728661,5.836915418,5.607754837,5.819693209,5.846081812,6.151026479,6.258444556,6.378169419,6.769778524,6.455071173,6.362105788,6.179205489
Pitpnc1,3.668675764,4.253317193,4.438959657,3.517240473,5.251686577,4.503257035,4.947229937,3.853482834,4.865625386,5.375943497,5.303289025,4.597583751,4.632493393,4.456267647,4.239194987,4.773441419,4.684740347,5.302282889,5.542631987,5.06002183,5.169606707,4.903429184,4.830614526,4.92427994
Pitrm1,6.092782602,6.188181795,6.05998079,6.385635815,5.821840029,5.811556277,5.959401207,6.395309929,6.314307498,6.307650193,6.399861993,5.518348248,6.385627347,6.44436233,6.297252919,6.36980375,6.253940993,6.411243225,6.667501296,6.299836427,6.618923832,6.488823095,6.248896558,6.53327463
